method,N,threads,time_ms,gflops
Sequential,500,1,190.79,1.31
OpenMP,500,1,75.96,3.29
OpenBLAS,500,1,160.41,1.56
MKL,500,1,0.45,558.04
Sequential,500,2,131.16,1.91
OpenMP,500,2,51.11,4.89
OpenBLAS,500,2,163.91,1.53
MKL,500,2,0.46,542.30
Sequential,500,4,132.00,1.89
OpenMP,500,4,40.61,6.16
OpenBLAS,500,4,155.65,1.61
MKL,500,4,3.31,75.55
Sequential,500,8,192.75,1.30
OpenMP,500,8,20.06,12.46
OpenBLAS,500,8,131.32,1.90
MKL,500,8,9.09,27.50
Sequential,500,16,172.70,1.45
OpenMP,500,16,11.78,21.23
OpenBLAS,500,16,131.19,1.91
MKL,500,16,3.18,78.60
Sequential,500,24,154.70,1.62
OpenMP,500,24,17.99,13.90
OpenBLAS,500,24,165.26,1.51
MKL,500,24,0.49,512.65
Sequential,1000,1,1148.20,1.74
OpenMP,1000,1,620.08,3.23
OpenBLAS,1000,1,1138.84,1.76
MKL,1000,1,12.78,156.52
Sequential,1000,2,1128.77,1.77
OpenMP,1000,2,303.51,6.59
OpenBLAS,1000,2,1104.26,1.81
MKL,1000,2,3.01,663.42
Sequential,1000,4,1068.73,1.87
OpenMP,1000,4,146.43,13.66
OpenBLAS,1000,4,1145.36,1.75
MKL,1000,4,10.79,185.27
Sequential,1000,8,1140.83,1.75
OpenMP,1000,8,80.78,24.76
OpenBLAS,1000,8,1143.18,1.75
MKL,1000,8,2.86,699.22
Sequential,1000,16,1183.88,1.69
OpenMP,1000,16,51.24,39.03
OpenBLAS,1000,16,1109.09,1.80
MKL,1000,16,3.03,659.41
Sequential,1000,24,1104.10,1.81
OpenMP,1000,24,53.91,37.10
OpenBLAS,1000,24,1136.86,1.76
MKL,1000,24,3.01,664.45
Sequential,1500,1,3840.96,1.76
OpenMP,1500,1,2106.72,3.20
OpenBLAS,1500,1,3931.05,1.72
MKL,1500,1,20.20,334.17
Sequential,1500,2,3886.45,1.74
OpenMP,1500,2,985.32,6.85
OpenBLAS,1500,2,3891.49,1.73
MKL,1500,2,21.73,310.58
Sequential,1500,4,4025.56,1.68
OpenMP,1500,4,523.18,12.90
OpenBLAS,1500,4,3848.34,1.75
MKL,1500,4,27.58,244.74
Sequential,1500,8,3905.57,1.73
OpenMP,1500,8,302.07,22.35
OpenBLAS,1500,8,3970.48,1.70
MKL,1500,8,17.95,376.04
Sequential,1500,16,3880.98,1.74
OpenMP,1500,16,140.56,48.02
OpenBLAS,1500,16,3955.99,1.71
MKL,1500,16,9.36,721.44
Sequential,1500,24,3894.38,1.73
OpenMP,1500,24,133.98,50.38
OpenBLAS,1500,24,3853.58,1.75
MKL,1500,24,8.62,782.85
